Date,Open,High,Low,Close
12/1/1994,0.7688,0.78,0.7656,0.775
1/1/1995,0.775,0.7765,0.755,0.7563
2/1/1995,0.7564,0.7605,0.735,0.7387
3/1/1995,0.7388,0.7472,0.7212,0.7335
4/1/1995,0.7338,0.7462,0.7228,0.7275
5/1/1995,0.7274,0.744,0.7119,0.7177
6/1/1995,0.7179,0.7288,0.7072,0.7092
7/1/1995,0.7104,0.7409,0.707,0.7383
8/1/1995,0.7381,0.7591,0.7293,0.7509
9/1/1995,0.7503,0.7671,0.7435,0.7551
10/1/1995,0.7553,0.7705,0.7447,0.7605
11/1/1995,0.7595,0.7622,0.7334,0.7435
12/1/1995,0.7435,0.75,0.7348,0.7425
1/1/1996,0.7446,0.7495,0.7303,0.7463
2/1/1996,0.7463,0.7655,0.7435,0.764
3/1/1996,0.764,0.785,0.7569,0.7818
4/1/1996,0.7838,0.7932,0.7789,0.7872
5/1/1996,0.7866,0.805,0.7863,0.7984
6/1/1996,0.7994,0.8029,0.7846,0.7878
7/1/1996,0.7872,0.7998,0.771,0.7725
8/1/1996,0.7732,0.7945,0.768,0.7893
9/1/1996,0.7904,0.8021,0.7851,0.7912
10/1/1996,0.791,0.7987,0.785,0.7913
11/1/1996,0.7912,0.8168,0.7813,0.816
12/1/1996,0.818,0.8215,0.7845,0.7945
1/1/1997,0.7944,0.7946,0.759,0.7621
2/1/1997,0.7622,0.7816,0.7549,0.7781
3/1/1997,0.7788,0.8005,0.7784,0.7857
4/1/1997,0.7856,0.7895,0.7685,0.7804
5/1/1997,0.7808,0.789,0.759,0.76
6/1/1997,0.76,0.7642,0.743,0.7537
7/1/1997,0.7541,0.7555,0.731,0.748
8/1/1997,0.7468,0.7507,0.729,0.732
9/1/1997,0.7315,0.7341,0.7143,0.7254
10/1/1997,0.7248,0.7414,0.6815,0.701
11/1/1997,0.7007,0.7171,0.6746,0.6805
12/1/1997,0.6819,0.6825,0.6452,0.6505
1/1/1998,0.6508,0.6875,0.6315,0.6845
2/1/1998,0.6821,0.6876,0.6596,0.6785
3/1/1998,0.6792,0.6848,0.6585,0.6621
4/1/1998,0.6622,0.6628,0.6423,0.649
5/1/1998,0.6492,0.6548,0.616,0.6227
6/1/1998,0.6234,0.628,0.5797,0.6205
7/1/1998,0.6199,0.6333,0.603,0.6058
8/1/1998,0.6055,0.611,0.5485,0.568
9/1/1998,0.5663,0.6038,0.565,0.5931
10/1/1998,0.5933,0.6414,0.581,0.6233
11/1/1998,0.6236,0.6478,0.6212,0.6283
12/1/1998,0.6284,0.638,0.6053,0.6115
1/1/1999,0.6123,0.646,0.6112,0.6303
2/1/1999,0.6316,0.6545,0.6165,0.6185
3/1/1999,0.6191,0.6419,0.616,0.6345
